Tuning Method,Train Percent,LR,Test AUC Overall,Test AUC Male,Test AUC Female,Test AUC Difference
auto_peft1,49.560058104297525,0.0005068922833152,0.869,0.851,0.919,0.068
auto_peft1,60.56087239150065,7.065448738948057e-05,0.816,0.691,0.885,0.194
auto_peft1,46.81119718680356,0.0006782485012281,0.749,0.644,0.849,0.205
auto_peft1,38.56282422857925,0.0003128982181924,0.837,0.788,0.906,0.118
auto_peft1,49.57527485310814,4.738409576030221e-05,0.616,0.59,0.608,0.018
auto_peft1,60.57787934605369,1.738387380712172e-05,0.592,0.684,0.554,0.13
auto_peft1,52.311604330405125,1.3772226461981452e-05,0.582,0.556,0.596,0.04
auto_peft1,55.07478689383849,0.0008347374575085843,0.878,0.733,0.943,0.21
